Linear motion bearng || S1:Industrial Supplies & Equipment > Bearings > Linear motion bearing (51.64) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Bearings>Linear motion bearing [Ambiguous]
Earthing cable 35 sqmm || S1:General Industrial > General Consumables > Earthing cable 35 sqmm (60.04) || S2: >  (use=False) || Final:General Industrial>General Consumables>Earthing cable 35 sqmm [Ambiguous]
Solenoid valve 24 VDC || S1:Industrial Supplies & Equipment > Pneumatic Equipment > Solenoid valve (50.71) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Pneumatic Equipment>Solenoid valve [Ambiguous]
A4 copier paper 80 gsm || S1:Office, Breakroom & Facility Supplies > Printing & Copier Supplies > A4 copier paper (56.42) || S2: >  (use=False) || Final:Office, Breakroom & Facility Supplies>Printing & Copier Supplies>A4 copier paper [Ambiguous]
Brass gate valve 1 inch || S1:Industrial Supplies & Equipment > Valves > Gate valve (59.24) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Valves>Gate valve [Ambiguous]
Safety shoes steel toe || S1:Safety, PPE & Security > Foot Protection > Steel toe safety shoe (74.6) || S2: >  (use=False) || Final:Safety, PPE & Security>Foot Protection>Steel toe safety shoe [Ambiguous]
Gasket sheet 1 mm || S1:Mechanical & Maintenance > General Consumables > Gasket sheet 1 mm (47.19) || S2: >  (use=False) || Final:Mechanical & Maintenance>General Consumables>Gasket sheet 1 mm [Manual-Low]
Copper cable 3 core 2.5 sqmm || S1:General Industrial > General Consumables > Copper cable 3 core 2.5 sqmm (52.18) || S2: >  (use=False) || Final:General Industrial>General Consumables>Copper cable 3 core 2.5 sqmm [Ambiguous]
Limit switch roller lever || S1:Electrical & Instrumentation > Electrical Components > Limit switch roller lever (50.85) || S2: >  (use=False) || Final:Electrical & Instrumentation>Electrical Components>Limit switch roller lever [Ambiguous]
PLC controller basic || S1:General Industrial > General Consumables > PLC controller basic (57.6) || S2: >  (use=False) || Final:General Industrial>General Consumables>PLC controller basic [Ambiguous]
PLC controller basic || S1:General Industrial > General Consumables > PLC controller basic (57.6) || S2: >  (use=False) || Final:General Industrial>General Consumables>PLC controller basic [Ambiguous]
Float switch level type || S1:Electrical & Instrumentation > Electrical Components > Float switch level type (52.57) || S2: >  (use=False) || Final:Electrical & Instrumentation>Electrical Components>Float switch level type [Ambiguous]
Feeler gauge set || S1:IT, Networks, Automation & Instrumentation > Instrumentation Devices > Pressure gauge (49.39) || S2: >  (use=False) || Final:IT, Networks, Automation & Instrumentation>Instrumentation Devices>Pressure gauge [Manual-Low]
Outside micrometer 0-25 mm || S1:Tools & Hardware > Measuring Tools > Micrometer (52.5) || S2: >  (use=False) || Final:Tools & Hardware>Measuring Tools>Micrometer [Ambiguous]
Vernier caliper 150 mm || S1:Tools & Hardware > Measuring Tools > Vernier caliper (68.44) || S2: >  (use=False) || Final:Tools & Hardware>Measuring Tools>Vernier caliper [Ambiguous]
Pneumatic tubing 8 mm || S1:Industrial Supplies & Equipment > Pneumatic Equipment > Pneumatic cylinder (51.01) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Pneumatic Equipment>Pneumatic cylinder [Ambiguous]
Inductive proximity sensor || S1:IT, Networks, Automation & Instrumentation > Sensors & Transmitters > Inductive proximity sensor (69.11) || S2: >  (use=False) || Final:IT, Networks, Automation & Instrumentation>Sensors & Transmitters>Inductive proximity sensor [Ambiguous]
RJ45 onnector || S1:Electrical & Instrumentation > General Consumables > RJ45 onnector (47.34) || S2: >  (use=False) || Final:Electrical & Instrumentation>General Consumables>RJ45 onnector [Manual-Low]
Paenl mounted indicator || S1:General Industrial > General Consumables > Paenl mounted indicator (51.95) || S2: >  (use=False) || Final:General Industrial>General Consumables>Paenl mounted indicator [Ambiguous]
Forklift solid tyre || S1:General Industrial > General Consumables > Forklift solid tyre (42.13) || S2: >  (use=False) || Final:General Industrial>General Consumables>Forklift solid tyre [Manual-Low]
Network swith 8 port || S1:Electrical & Instrumentation > General Consumables > Network swith 8 port (46.22) || S2: >  (use=False) || Final:Electrical & Instrumentation>General Consumables>Network swith 8 port [Manual-Low]
Multipurpose grehse || S1:General Industrial > General Consumables > Multipurpose grehse (40.76) || S2: >  (use=False) || Final:General Industrial>General Consumables>Multipurpose grehse [Manual-Low]
PLC controller basic || S1:General Industrial > General Consumables > PLC controller basic (57.6) || S2: >  (use=False) || Final:General Industrial>General Consumables>PLC controller basic [Ambiguous]
Solenoid valve 24 VDC || S1:Industrial Supplies & Equipment > Pneumatic Equipment > Solenoid valve (50.71) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Pneumatic Equipment>Solenoid valve [Ambiguous]
Copper cable 3 core 2.5 sqmm || S1:General Industrial > General Consumables > Copper cable 3 core 2.5 sqmm (52.18) || S2: >  (use=False) || Final:General Industrial>General Consumables>Copper cable 3 core 2.5 sqmm [Ambiguous]
32 A MCB 3 pole || S1:General Industrial > General Consumables > 32 A MCB 3 pole (40.33) || S2: >  (use=False) || Final:General Industrial>General Consumables>32 A MCB 3 pole [Manual-Low]
LED panel light 600x600 || S1:Lighting > Indoor Lighting > LED panel light (54.08) || S2: >  (use=False) || Final:Lighting>Indoor Lighting>LED panel light [Ambiguous]
Office work table || S1:Office, Breakroom & Facility Supplies > Office Furniture > Office workstation desk (53.01) || S2: >  (use=False) || Final:Office, Breakroom & Facility Supplies>Office Furniture>Office workstation desk [Ambiguous]
Centrifugal pump 3 HP || S1:Industrial Supplies & Equipment > Pumps > Centrifugal process pump (58.11) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Pumps>Centrifugal process pump [Ambiguous]
Control relay 24 VDC || S1:Electrical & Instrumentation > Electrical Components > Control relay 24 VDC (51.63) || S2: >  (use=False) || Final:Electrical & Instrumentation>Electrical Components>Control relay 24 VDC [Ambiguous]
MIG welding machine || S1:Tools & Hardware > Welding Equipment > MIG welding machine (82.97) || S2: >  (use=False) || Final:Tools & Hardware>Welding Equipment>MIG welding machine [Ambiguous]
Full face shield || S1:Safety, PPE & Security > Head & Face Protection > Face shield (47.72) || S2: >  (use=False) || Final:Safety, PPE & Security>Head & Face Protection>Face shield [Manual-Low]
Float switch level type || S1:Electrical & Instrumentation > Electrical Components > Float switch level type (52.57) || S2: >  (use=False) || Final:Electrical & Instrumentation>Electrical Components>Float switch level type [Ambiguous]
